customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
27075,,1,57.0,57.0,2018-08-24 00:00:00
27101,,1,49.9,49.9,2018-08-24 00:00:00
27241,,1,219.0,219.0,2018-08-24 00:00:00
27430,,1,38.99,38.99,2018-08-27 00:00:00
27435,,1,299.99,299.99,2018-08-26 00:00:00
27552,,1,259.0,259.0,2018-08-23 00:00:00
27766,,1,29.8,14.9,2018-08-23 00:00:00
27890,,1,109.9,109.9,2018-08-24 00:00:00
27938,,1,64.0,64.0,2018-08-27 00:00:00
28131,,1,50.0,50.0,2018-08-24 00:00:00
28208,,1,102.0,102.0,2018-08-26 00:00:00
28335,,1,85.9,85.9,2018-08-24 00:00:00
28488,,1,24.0,24.0,2018-08-24 00:00:00
28877,,1,85.9,85.9,2018-08-23 00:00:00
28894,,1,14.5,14.5,2018-08-28 00:00:00
29023,,1,129.9,129.9,2018-08-27 00:00:00
29400,,1,12.0,12.0,2018-08-28 00:00:00
29486,,1,246.9,246.9,2018-08-23 00:00:00
29953,,1,124.98,62.49,2018-08-24 00:00:00
30281,,1,48.9,48.9,2018-08-27 00:00:00
30426,,1,29.9,29.9,2018-08-24 00:00:00
30469,,1,196.8,196.8,2018-08-26 00:00:00
30508,,1,29.9,29.9,2018-08-23 00:00:00
30581,,1,143.9,143.9,2018-08-24 00:00:00
30906,,1,63.0,63.0,2018-08-23 00:00:00
31236,,1,136.89000000000001,68.44500000000001,2018-08-24 00:00:00
31281,,1,44.9,44.9,2018-08-27 00:00:00
31479,,1,119.0,119.0,2018-08-26 00:00:00
31961,,1,38.0,38.0,2018-08-24 00:00:00
32078,,1,139.9,139.9,2018-08-25 00:00:00
32231,,1,94.9,94.9,2018-08-23 00:00:00
32813,,1,59.9,59.9,2018-08-23 00:00:00
32845,,1,9.99,9.99,2018-08-26 00:00:00
33147,,1,60.0,60.0,2018-08-23 00:00:00
33456,,1,112.99,112.99,2018-08-24 00:00:00
34134,,1,110.32,110.32,2018-08-26 00:00:00
34254,,1,69.9,69.9,2018-08-23 00:00:00
34496,,1,63.99,63.99,2018-08-26 00:00:00
34561,,1,149.9,149.9,2018-08-23 00:00:00
34564,,1,39.5,39.5,2018-08-25 00:00:00
34634,,1,63.0,31.5,2018-08-23 00:00:00
35171,,1,37.4,37.4,2018-08-25 00:00:00
35653,,1,119.9,119.9,2018-08-23 00:00:00
35708,,1,99.9,99.9,2018-08-23 00:00:00
36002,,1,27.72,27.72,2018-08-23 00:00:00
36624,,1,326.0,326.0,2018-08-23 00:00:00
36860,,1,244.99,244.99,2018-08-24 00:00:00
37030,,1,95.9,95.9,2018-08-23 00:00:00
37033,,1,45.0,45.0,2018-08-23 00:00:00
37099,,1,191.0,191.0,2018-08-24 00:00:00
37245,,1,289.98,144.99,2018-08-23 00:00:00
37411,,1,19.9,19.9,2018-08-23 00:00:00
37471,,1,100.49,100.49,2018-08-24 00:00:00
37598,,1,30.0,30.0,2018-08-28 00:00:00
37748,,1,2160.0,2160.0,2018-08-23 00:00:00
37759,,1,20.9,20.9,2018-08-26 00:00:00
38268,,1,20.0,20.0,2018-08-26 00:00:00
38610,,1,52.51,52.51,2018-08-27 00:00:00
38725,,1,110.32,110.32,2018-08-23 00:00:00
38834,,1,250.0,125.0,2018-08-24 00:00:00
38847,,1,31.9,31.9,2018-08-25 00:00:00
38929,,1,50.3,16.766666666666666,2018-08-26 00:00:00
39087,,1,98.0,98.0,2018-08-23 00:00:00
39119,,1,104.0,104.0,2018-08-24 00:00:00
39242,,1,25.99,25.99,2018-08-26 00:00:00
39259,,1,1240.0,1240.0,2018-08-26 00:00:00
39372,,1,119.9,119.9,2018-08-23 00:00:00
39496,,1,77.0,77.0,2018-08-24 00:00:00
39624,,1,285.0,285.0,2018-08-23 00:00:00
39790,,1,228.0,228.0,2018-08-23 00:00:00
39979,,1,79.49,79.49,2018-08-24 00:00:00
39987,,1,56.1,56.1,2018-08-23 00:00:00
40059,,1,38.0,38.0,2018-08-24 00:00:00
40136,,1,59.9,59.9,2018-08-28 00:00:00
40274,,1,29.8,14.9,2018-08-23 00:00:00
40861,,1,15.9,15.9,2018-08-27 00:00:00
41443,,1,14.9,14.9,2018-08-23 00:00:00
41504,,1,19.9,19.9,2018-08-24 00:00:00
41577,,1,14.49,14.49,2018-08-24 00:00:00
41631,,1,138.0,69.0,2018-08-23 00:00:00
42044,,1,20.9,20.9,2018-08-23 00:00:00
42062,,1,31.8,15.9,2018-08-25 00:00:00
42093,,1,115.99,115.99,2018-08-24 00:00:00
42253,,1,36.9,36.9,2018-08-27 00:00:00
42433,,1,127.3,63.65,2018-08-25 00:00:00
42631,,1,12.99,12.99,2018-08-23 00:00:00
42715,,1,37.98,18.99,2018-08-25 00:00:00
42751,,1,399.0,399.0,2018-08-25 00:00:00
42753,,1,192.9,192.9,2018-08-27 00:00:00
42772,,1,220.0,220.0,2018-08-24 00:00:00
42844,,1,217.9,217.9,2018-08-23 00:00:00
42855,,1,59.9,59.9,2018-08-23 00:00:00
42973,,1,44.99,44.99,2018-08-24 00:00:00
43160,,1,38.25,38.25,2018-08-24 00:00:00
43857,,1,250.0,250.0,2018-08-28 00:00:00
44873,,1,55.0,55.0,2018-08-23 00:00:00
44978,,1,96.99,96.99,2018-08-26 00:00:00
45005,,1,79.8,79.8,2018-08-27 00:00:00
45011,,1,36.98,18.49,2018-08-23 00:00:00
45441,,1,55.0,55.0,2018-08-23 00:00:00
45443,,1,97.5,97.5,2018-08-25 00:00:00
45522,,1,20.9,20.9,2018-08-25 00:00:00
45540,,1,39.9,39.9,2018-08-27 00:00:00
45546,,1,23.8,23.8,2018-08-25 00:00:00
45562,,1,29.99,29.99,2018-08-27 00:00:00
45747,,1,18.9,18.9,2018-08-23 00:00:00
45959,,1,74.9,74.9,2018-08-26 00:00:00
45978,,1,107.96,26.99,2018-08-23 00:00:00
46064,,1,15.0,15.0,2018-08-26 00:00:00
46193,,1,163.19,27.198333333333334,2018-08-24 00:00:00
46496,,1,12.88,12.88,2018-08-27 00:00:00
46555,,1,45.97,45.97,2018-08-24 00:00:00
46899,,1,49.98,24.99,2018-08-24 00:00:00
46920,,1,63.53,31.765,2018-08-26 00:00:00
47051,,1,41.99,41.99,2018-08-23 00:00:00
47287,,1,39.9,39.9,2018-08-23 00:00:00
